KC_term,gene
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNA11
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNA14
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNA15
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNAQ
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PLCB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PLCB2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PLCB3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ACE
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ACE2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ANPEP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AOPEP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ATP6AP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CDX2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CES1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CGB3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CLTRN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CMA1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CPA3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CPB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CPB2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CPE
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CRHR2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CTNNB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CTSD
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CTSG
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CTSZ
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,DPP4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ENPEP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ERO1B
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EXOC8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FFAR4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FSHB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GATA4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GCG
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GH1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GHRL
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GIP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNAT3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNB3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG13
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GPR119
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GRP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GZMH
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGF1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,INHA
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,INHBA
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,INHBB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,INHBC
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,INHBE
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,INS
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ISL1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KIF5A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KIF5B
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KIF5C
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KLF4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LEP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MBOAT4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MME
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MYO5A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MYRIP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,P4HB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PAX6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PCSK1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PCSK2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PLA2G7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,RAB27A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,REN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SEC11A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SEC11C
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SLC30A5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SLC30A8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SPCS1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SPCS2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SPCS3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,STX1A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TCF7L2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,UCN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,VAMP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ADAM10
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AFP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AHSG
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AMBN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AMELX
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AMTN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ANO8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,APLP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,APOB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,APOL1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,APP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,BMP15
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,BMP4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,BPIFB2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,C3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,C4A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CALU
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CDH2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CHGB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CHRDL1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CKAP4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CP
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CSF1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CST3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CYR61
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,DMP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,DNAJC3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ENAM
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,EVA1A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,F2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,F5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FAM20A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FAM20C
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBN1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FGA
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FGF23
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FGG
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FN1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FSTL1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FSTL3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FUCA2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GAS6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GOLM1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GPC3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,HRC
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,HSP90B1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGF2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFALS
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IGFBP7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,IL6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ITIH2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KLK1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KLK13
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KLK2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KLK3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KNG1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KTN1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LAMB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LAMB2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LAMC1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LGALS1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LTBP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MATN3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MELTF
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MEN1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MEPE
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MFGE8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MGAT4A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MIA3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MMP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MMP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MSLN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,MXRA8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,NOTUM
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,NUCB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PAPPA
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PAPPA2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PCSK9
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PDIA6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PENK
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PLG
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PRKCSH
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PROC
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PRSS23
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,QSOX1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,RCN1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SCG2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SCG3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SDC2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SERPINA1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SERPINA10
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SERPINC1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SERPIND1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SHISA5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SPARCL1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SPP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SPP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,STC2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TF
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TGOLN2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TIMP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TMEM132A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TNC
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,VCAN
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,VGF
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,VWA1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,WFS1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ACTB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,AP3M1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ARFGEF2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,ARL2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCNE1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCNE2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT6A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT6B
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,CCT8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,DCAF7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXL3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXL5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXO4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXO6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXW10
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXW2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXW4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXW5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXW7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FBXW9
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,FKBP9
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GAPDHS
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNB2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNB4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNB5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG10
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG11
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG12
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNG8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNGT1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,GNGT2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KIF13A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,KIFC3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,LONP2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,NOP56
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PDCL
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PFDN1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PFDN2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PFDN4
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PFDN5
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,PFDN6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,RGS11
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,RGS6
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,RGS7
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,RGS9
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,SKIC2
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,STAT3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TBCA
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TBCB
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TBCC
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TBCD
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TBCE
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TCP1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TP53
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA1A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA1B
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA1C
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA3C
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA3D
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA3E
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA4A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA4B
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBA8
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBAL3
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBB1
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBB2A
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBB2B
DISRUPTS LIPID AND PROTEIN METABOLISM OR CAUSES DYSLIPIDEMIA,TUBB3
